Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02 00:00:00-05:00,39.776189634537445,40.27643070005527,39.565805677893536,40.2670783996582,102223600,0.0,0.0
2018-01-03 00:00:00-05:00,40.33019497342311,40.80238628352514,40.19695500765061,40.260066986083984,118071600,0.0,0.0
2018-01-04 00:00:00-05:00,40.33252097704683,40.54991732565844,40.22499451516484,40.44706344604492,89738400,0.0,0.0
2018-01-05 00:00:00-05:00,40.54290869011677,40.9940590344742,40.451743391332485,40.907569885253906,94640000,0.0,0.0
2018-01-08 00:00:00-05:00,40.75563430786133,41.05016756597909,40.65745298829791,40.75563430786133,82271200,0.0,0.0
2018-01-09 00:00:00-05:00,40.802380620103136,40.921595685232134,40.53589715868877,40.750953674316406,86336000,0.0,0.0
2018-01-10 00:00:00-05:00,40.477456442146824,40.74393989480724,40.440054379738385,40.741600036621094,95839600,0.0,0.0
2018-01-11 00:00:00-05:00,40.81173298285246,41.02211693438228,40.78835936614299,40.973026275634766,74670800,0.0,0.0
2018-01-12 00:00:00-05:00,41.18340935111223,41.459245154422774,41.0595181171993,41.3961296081543,101672400,0.0,0.0
2018-01-16 00:00:00-05:00,41.585476374529335,41.93377648897424,41.17406427506678,41.185752868652344,118263600,0.0,0.0
2018-01-17 00:00:00-05:00,41.176390621417674,41.901040446396664,40.92393560860837,41.8659782409668,137547200,0.0,0.0
2018-01-18 00:00:00-05:00,41.92909864045741,42.09974425280953,41.66729127565983,41.903385162353516,124773600,0.0,0.0
2018-01-19 00:00:00-05:00,41.75144328474837,41.97818843235449,41.4709348901725,41.71638107299805,129700400,0.0,0.0
2018-01-22 00:00:00-05:00,41.44521571876117,41.5574183478053,41.28158614164321,41.37508773803711,108434400,0.0,0.0
2018-01-23 00:00:00-05:00,41.44521299016399,41.945453988337626,41.333010368506855,41.38443374633789,130756400,0.0,0.0
2018-01-24 00:00:00-05:00,41.433531621173195,41.44522021370444,40.486812695865126,40.72524642944336,204420400,0.0,0.0
